Username,Images,Review,Rating,Creation-date
JoshJosh,https://images-na.ssl-images-amazon.com/images/I/71MBPN1UUBL._SY800.jpg;https://images-na.ssl-images-amazon.com/images/I/81+5gFdQMEL._SY800.jpg,This product changed!                                                                                                                                                                                        No se pudo cargar el archivo multimedia.                                                                                                UPDATE: I gave this rubber band the benefit of the doubt. If the manufacturer changed something  surely it s for the better  right?Not a chance. I hardly got halfway down my block when BOOM the rubber band let go (broke) the battery box flew off ripped the wire right out and launched itself to the ground.THIS IS A HUGE SAFETY HAZARD! DO NOT INSTALL THIS PRODUCT ON YOUR BICYCLE!!There s another video about these lights showing how the battery box mounts to the spokes with nice brackets that are screwed in for a secure mount. The manufacturer changed the product and it now uses a glorified rubber band to hold the battery box in place. It will surely rattle with every little bump you hit! Watch my video and see for yourself! These are coming off and being sent back. It s a shame  because other than the battery box the rest of the kit is excellent. I just can t rely on a piece of rubber to hold this box in place!       A 34 personas les resultó útil,1,2021-08-09T14:22:22
herman barlow jr.,-,They look good. Even with out front lights you wont be ...               These lights awesome>>>>I bought these because I was once using the wheel lights that screw onto your valcap.The problem was you only have one light. They would go about 3 to 5 day s & would need battery replacement  with 3 ag10 button cell batterys. (I ride about 6 night hours a week) The other is when motion stops the light stops. With about 15 led lights that  incircle your rim you are fully lit at all times. With these lights.you can push the function for flash or to sustaine the stedy light .They give off brillant lighting effect ( I got blue). They are simple  to install.>>>you simply unscrew the (3 ..AA battery pack)  to install .Strap the pack to your inner hub .Bring insulated (no light ) wire down your spoke to your rim & start  treading or wraping around your rim spokes.I have a 700 rim & it was  just shy of makin the full circle.The wire is very thin (like bread twist tie ). I  have already done 6 hours with these & they are still bright......Of corse with 3 AA  batterys & LED/ ...They look good. Even with out front lights you wont be missed.>>>Hope this was a help .       A 2 personas les resultó útil,5,2021-08-16T14:22:22
Jacaranda,-,Great design. Durable  bright  and colorful.               LEDs are encased in a plastic tube - much more durable than wire-only models. Battery pack spoke attachment is very secure design. Very durable. Easy access push button switch. After 100+ miles on my commute bike (bumpy pavement) still solid and functional. I really like the color-change feature over single color. Well-written instructions. I have another variety that is much less durable and the battery unit is a sloppy fit on the spokes. Worth the price.       A una persona le resultó útil,5,2021-03-15T14:22:22
Kindle Customer,-,Great product with tedious install/remove                                                                                                                                                                                                              No se pudo cargar el archivo multimedia.                                                                                                Plenty of length for my 29er wheels. Bright. Battery pack attaches simply and securely to the wheel (but may be a problem on radially-laced or low-spoke-count wheels). Using zip ties to hold the tube of lights in place makes installation tedious (about 15 minutes per wheel) and removal a precise operation (so as to not cut the light string with the diagonal cutters). If I had a bike or wheelset to commit to night rides I d just leave them in place. But I did a few miles of rocky singletrack and everything stayed in place  so the system works. One caveat: because others complained of getting knock-offs I considered ordering direct from the manufacturer. Using their online form I inquired about delivery times as I needed the lights for an event. They never replied. I ordered from Amazon with no issues. The video shows the lights only  lights with my headlamp on  and lights while riding next to a well-illuminated picnic shelter. I was running both Wheel Brightz and Go Brightz frame lights.       A 3 personas les resultó útil,5,2021-09-26T14:22:22
Nancy,-,Bright sturdy bike lights!               Have bought many LED lights for bicycles and the ones from Brightz re the longest lasting ones I have found. Easy to install  and very secure. They don t cut corners on their products and are so much more sturdy than some of the flimsy ones out there.       ,5,2021-02-01T14:22:22
Mike Ransom,-,Works Great / Would Recommend / Would Buy Again               Works great and looks nice.  Defiantly draws attention to you and makes it easy for people to see you at night.  Was easy to install and has not caused any interference with riding the bike.  I bought a second one at later date from a retail store.  I would recommend and buy again.       ,5,2021-04-14T14:22:22
Erica,-,👌🏽               He loves it       ,5,2021-02-19T14:22:22
k.a.v.,-,These lights are really cool! They are very easy to install and are ...               These lights are really cool! They are very easy to install and are very bright at night. I personally did not even expect them to be this good but they turned out way better than i imagined. You will be completely satisfied with these LED lights!! They also look very cool when riding and will turn heads and get plenty on  honks  and yells lol.       ,5,2021-05-16T14:22:22
Misty (Vance) Bartlett,-,Cool lights               These lights were easy to install and looked really neat on our daughter s bike wheels.  Nice and bright.       ,5,2021-09-04T14:22:22
Megan,-,These only fit on my back wheel. The front ...               These only fit on my back wheel. The front wheel of my bike has something slightly different going on with the spokes and I could not get it to fit. I then got the Yacto lights for my front tire  and they are both the same color blue.       ,5,2021-10-04T14:22:22
